STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-01,3,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-02,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-03,0.3,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-04,7.6,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-05,10.2,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-06,1,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-07,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-08,0.3,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-09,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-10,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-11,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-12,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-13,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-14,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-15,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-16,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-17,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-18,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-19,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-20,0,",,E"
UKE00105003,"CAMBRIDGE NIAB, UK",52.245,0.1031,26,1898-01-21,0,",,E"
